اسم المدرج للصنف ,,,,,
type,no ,product ,small price ,medium price,large price 
ايس,1,ايس لاتيه ,8,10,12
ايس,2,ايس سبنش لاتيه ,12,14,16
ايس,3,ايس ستروبري سبنش لاتيه ,12,14,16
ايس,4,ايس بلو كرساولاتيه ,12,14,16
ايس,5,ايس موكا لاتيه ,12,14,16
ايس,6,ايس وايت موكا ,12,14,16
ايس,7,ايس دارك موكا ,12,14,16
ايس,8,ايس كوفي ,7,9,11
ايس,9,ايس كوفي دايت ,,,
ايس,10,ايس امريكانو ,8,10,12
ايس,11,ايس فنيلا لاتيه ,10,12,14
ايس,12,ايس هيزلنت لاتيه ,10,12,14
ايس,13,ايس كراميل لاتيه ,10,12,14
ايس,14,ايس نوتيلا ,12,14,16
ايس,15,ايس كراميل مكياتو ,10,12,14
ايس,16,ايس تي فراوله ,8,10,12
ايس,17,ايس تي خوخ,8,10,12
ايس,18,ايس بينك لامونادا,8,10,12
طبيعي,1,جزر,7,9,11
طبيعي,2,برتقال ,7,9,11
طبيعي,3,رمان ,7,9,11
طبيعي,4,تفاح ,7,9,11
طبيعي,5,ليمون ونعنع,8,10,12
طبيعي,6,لامونادا,7,9,11
طبيعي,7,شمندر وجزر ,8,9,11
طبيعي,8,شمندر وجزر وزنجبيل ,9,11,14
طبيعي,9,شمندر وجزر وتفاح ,9,11,14
سموذي,1,فراوله ,8,10,12
سموذي,2,فراوله و ليمون ,8,10,12
سموذي,3,منجا ,8,10,12
سموذي,4,انناس ,8,10,12
سموذي,5,مس فلورا ,8,10,12
سموذي,6,مكس بيري ,8,10,12
سموذي,7,مكس ب اسم المحل (مع ريحان ,10,12,14
ميلك شيك ,1,ميلك شيك نوتيلا ,12,14,16
ميلك شيك ,2,ميلك شيك اوريو ,12,14,16
ميلك شيك ,3,ميلك شيك سيريلاك ,12,14,16
ميلك شيك ,4,ميلك شيك فراوله ,12,14,16
ميلك شيك ,5,ميلك شيك تشيزكيك,12,14,16
ميلك شيك ,6,ميلك شيك دبي ,12,14,16
ميلك شيك ,7,ميلك شيك لوتس ,12,14,16
ميلك شيك ,8,ميلك شيك حوامض,12,14,16
ميلك شيك ,9,ميلك شيك بستاشيو ,12,14,16
ميلك شيك ,10,ميلك شيك سنكرز,12,14,16
ميلك شيك ,11,ميلك شيك كراميل ,12,14,16
موهيتو ,1,مهيتو فراوله ,,,14
موهيتو ,2,مهيتو انناس ,,,14
موهيتو ,3,مهيتو بطيخ ,,,14
موهيتو ,4,مهيتو مس قلورا ,,,14
موهيتو ,5,مهيتو بلو كرساو,,,14
موهيتو ,6,مهيتو ببل جيم ,,,14
موهيتو ,7,مهيتو مكس بيري ,,,14
موهيتو ,8,مهيتو حوامض ,,,14
موهيتو ,9,مهيتو حلو (اسم المحل ),,,15
هوت,1,اسبرسو سنجل ,4,6,8
هوت,2,اسبرسو دبل,6,8,10
هوت,3,امريكانو,8,10,12
هوت,4,نسكافيه ,5,7,9
هوت,5,كابتشينو,7,9,12
هوت,6,فرنش فنيلا,7,9,11
هوت,7,هوت شوكلت,8,10,12
هوت,8,هوت شوكلت سنكرز ,9,11,13
هوت,9,هوت شوكلت بالبندق ,9,11,13
هوت,10,هوت شوكلت دارك ,9,11,13
هوت,11,هوت موكا,10,12,14
هوت,12,هوت موكا دايت ,10,12,14
هوت,13,هوت كرميل,8,10,12
هوت,14,هوت لوتس ,8,10,12
هوت,15,هوت سيرلاك ,10,12,14
هوت,16,هوت سبانش لاتيه,10,12,14
هوت,17,هوت فرنش لاتيه ,8,10,12
هوت,18,فنيلا لاتيه ,8,10,12
هوت,19,كرميل لاتيه ,8,10,12
هوت,20,بستاشيو لاتيه ,8,10,12
هوت,21,شاي ,4,6,8
هوت,22,سولتد كراميل ,8,10,12
كوكتيل,1,كوكتيل فواكه ,8,10,12
كوكتيل,2,كوكتيل مكسرات ,10,12,14
كوكتيل,3,موز وحليب ,8,10,12
كوكتيل,4,موز وحليب وشوفان ,9,11,13
كوكتيل,5,موز وحليب وتمر ,9,11,13
صحي,1,ايس كوفي دايت ,7,9,11
صحي,2,لاتيه كراميل بدون سكر ,10,12,14
صحي,3,لاتيه بندق بدون سكر ,10,12,14
صحي,4,لاتيه فنيلاا بدون سكر ,10,12,14